id,retweet_count,favorite_count
786286427768250368,2790,7892
786233965241827333,4650,15071
786051337297522688,154,1409
786036967502913536,6895,0
785927819176054784,3143,11262
785872687017132033,1780,6631
785639753186217984,2209,7782
785533386513321988,1962,8997
785515384317313025,1238,6047
785264754247995392,1597,7189
785170936622350336,4751,11885
784826020293709826,3195,9989
784517518371221505,2485,8871
784431430411685888,1253,5657
784183165795655680,7915,19808
784057939640352768,10924,29404
783839966405230592,10622,29637
783821107061198850,1933,7277
783695101801398276,3168,10338
783466772167098368,2199,8346
783391753726550016,5367,16693
783347506784731136,5451,0
783334639985389568,11490,28754
783085703974514689,2160,8064
782969140009107456,7245,23841
782747134529531904,1389,7378
782722598790725632,5300,17036
782598640137187329,1841,7703
782305867769217024,5446,16436
782021823840026624,6091,0
781955203444699136,3318,10999
781661882474196992,2674,10305
781655249211752448,1112,3940
781524693396357120,5465,20486
781308096455073793,2512,7058
781251288990355457,2044,8297
781163403222056960,2711,9674
780931614150983680,7162,21313
780858289093574656,1968,7091
780800785462489090,1276,5405
780601303617732608,3300,11929
780543529827336192,1716,6210
780496263422808064,3602,0
780476555013349377,109,0
780459368902959104,1056,5211
780192070812196864,2199,8568
780092040432480260,2256,0
780074436359819264,4859,11961
779834332596887552,6895,18586
779377524342161408,3051,8639
779124354206535695,17925,0
779056095788752897,4441,14539
778990705243029504,7039,19647
778774459159379968,9693,0
778764940568104960,356,850
778748913645780993,1279,6782
778650543019483137,1469,5671
778624900596654080,994,4543
778408200802557953,4238,13398
778396591732486144,11977,0
778383385161035776,1077,5731
778286810187399168,3235,10217
778039087836069888,2588,8359
778027034220126208,1570,6455
777953400541634568,3458,0
777885040357281792,1595,6253
777684233540206592,2874,11054
777641927919427584,4140,0
777621514455814149,2465,8589
777189768882946048,4225,14011
776819012571455488,13402,0
776813020089548800,1181,4803
776477788987613185,2712,8660
776249906839351296,8930,0
776218204058357768,15494,29369
776201521193218049,2468,9431
776113305656188928,4277,11564
776088319444877312,147,1808
775898661951791106,16428,0
775842724423557120,2602,11498
775733305207554048,3910,13654
775729183532220416,4508,12791
775364825476165632,2893,7254
775350846108426240,3826,9985
775085132600442880,4623,15279
774757898236878852,1748,8458
774639387460112384,1693,6612
774314403806253056,5403,21406
773985732834758656,3771,10551
773922284943896577,1714,6291
773704687002451968,1593,6483
773670353721753600,1285,5260
773547596996571136,6007,21729
773336787167145985,4948,0
773308824254029826,7314,22881
773247561583001600,3191,9293
773191612633579521,4038,9819
772877495989305348,3788,8393
772826264096874500,2309,7887
772615324260794368,3307,0
772581559778025472,1666,6361
772193107915964416,1354,5907
772152991789019136,1108,3741
772117678702071809,722,3702
772114945936949249,459,2681
772102971039580160,918,3932
771908950375665664,1844,6448
771770456517009408,3289,11767
771500966810099713,2555,8127
771380798096281600,4948,10292
771171053431250945,7266,0
771136648247640064,2857,8986
771102124360998913,1404,6116
771014301343748096,1619,6751
770787852854652928,1178,4838
770772759874076672,1388,5090
770655142660169732,1739,7209
770414278348247044,2049,6213
770293558247038976,1433,6108
770093767776997377,2973,0
770069151037685760,2248,7448
769940425801170949,9308,30660
769695466921623552,1643,6295
769335591808995329,7552,0
769212283578875904,1674,5283
768970937022709760,6351,14029
768909767477751808,2605,0
768855141948723200,867,4099
768609597686943744,1169,4030
768596291618299904,1247,4934
768554158521745409,5695,0
768473857036525572,3329,13351
768193404517830656,3458,10654
767884188863397888,1349,4653
767754930266464257,5258,15688
767500508068192258,2286,7360
767191397493538821,3672,12050
767122157629476866,2795,9982
766864461642756096,5485,0
766793450729734144,1330,4937
766714921925144576,367,2559
766693177336135680,776,3929
766423258543644672,1540,5882
